t_real, tv, d_tv, e_p_x, e_p_y,e_p_z, e_o_x, e_o_y, e_o_z, e_v_lin_x, e_v_lin_y, e_v_lin_z, e_v_ang_x, e_v_ang_y, e_v_ang_z,W_0x, W_0y, W_0z,  W_1x, W_1y, W_1z,  W_2x, W_2y, W_2z,  W_3x, W_3y, W_3z,p_c_x, p_c_y, p_c_z,p_d_x, p_d_y, p_d_z,prob0, prob1, prob2, prob3 
0.054,0.0538439,0.992922,0.0105927,0.000102677,0.00120698,-0.0245975,-0.00108559,0.0147057,0.172262,0.00512703,0.0434065,-0.325329,-0.0169939,0.186999,35.2614,35.2614,35,35.2614,35.2614,35,35.2495,35.2495,35,35.2614,35.2614,35,0.0763718,-0.0220302,0.357638,0.0657791,-0.0221329,0.356431,0.9604,0.9604,0.9604,0.9604
0.056,0.0558291,0.992588,0.0109327,0.000112612,0.00129654,-0.0255271,-0.00113361,0.0152399,0.169982,0.00496712,0.0447778,-0.312812,-0.0157094,0.164277,35.2732,35.2732,35,35.2732,35.2732,35,35.2614,35.2614,35,35.2732,35.2732,35,0.0763165,-0.0220203,0.357637,0.0653838,-0.0221329,0.356341,0.9604,0.9604,0.9604,0.9604
0.058,0.0578136,0.992254,0.0112652,0.000122415,0.0013887,-0.0264209,-0.00117744,0.0157093,0.166236,0.0049019,0.046082,-0.307594,-0.0160283,0.151262,35.2851,35.2851,35,35.2851,35.2851,35,35.2732,35.2732,35,35.2851,35.2851,35,0.0762546,-0.0220105,0.357636,0.0649895,-0.0221329,0.356247,0.9604,0.9604,0.9604,0.9604
0.06,0.0597975,0.99192,0.011594,0.000131284,0.00148352,-0.0272999,-0.00122183,0.0161414,0.164391,0.00443409,0.0474063,-0.313855,-0.0168619,0.132212,35.297,35.297,35,35.297,35.297,35,35.2851,35.2851,35,35.297,35.297,35,0.0761862,-0.0220011,0.357634,0.064596,-0.0221329,0.356151,0.9604,0.9604,0.9604,0.9604
0.062,0.0617806,0.991586,0.0119827,0.000131763,0.00158292,-0.0281917,-0.00126978,0.0165392,0.194393,0.000239706,0.0497041,-0.345969,-0.00727078,0.00685722,35.3089,35.3089,35,35.3089,35.3089,35,35.297,35.297,35,35.3089,35.3089,35,0.0761862,-0.0220011,0.357634,0.0642034,-0.0221329,0.356052,0.9604,0.9604,0.9604,0.9604
0.064,0.0637631,0.991252,0.0122994,0.000140587,0.00168329,-0.0291854,-0.00128059,0.016539,0.158311,0.00441219,0.0501815,-0.316308,-0.0191621,0.128012,35.3208,35.3208,35,35.3208,35.3208,35,35.3089,35.3089,35,35.3208,35.3208,35,0.0761112,-0.0219923,0.357632,0.0638118,-0.0221329,0.355949,0.9604,0.9604,0.9604,0.9604
0.066,0.065745,0.990919,0.0126085,0.000148844,0.00178613,-0.0300893,-0.00133302,0.0169046,0.154581,0.00412833,0.051421,-0.320053,-0.0209053,0.117428,35.3326,35.3326,35,35.3326,35.3326,35,35.3208,35.3208,35,35.3326,35.3326,35,0.0760297,-0.0219841,0.357629,0.0634212,-0.0221329,0.355843,0.9604,0.9604,0.9604,0.9604
0.068,0.0677261,0.990585,0.0129982,0.000148844,0.00189503,-0.031004,-0.0013899,0.0172398,0.194814,0,0.0544521,-0.347155,-0.00689683,-0.000223421,35.3445,35.3445,35,35.3445,35.3445,35,35.3326,35.3326,35,35.3445,35.3445,35,0.0760297,-0.0219841,0.357629,0.0630316,-0.0221329,0.355734,0.9604,0.9604,0.9604,0.9604
0.07,0.0697067,0.990253,0.0132988,0.000156505,0.00200345,-0.0319961,-0.00140105,0.0172396,0.150345,0.00383041,0.0542088,-0.322478,-0.0226741,0.107454,35.3564,35.3564,35,35.3564,35.3564,35,35.3445,35.3445,35,35.3564,35.3564,35,0.0759418,-0.0219764,0.357626,0.062643,-0.0221329,0.355622,0.9604,0.9604,0.9604,0.9604
0.072,0.0716865,0.98992,0.0135869,0.000163823,0.00211406,-0.0329178,-0.00146265,0.0175463,0.144047,0.00365883,0.0553056,-0.324947,-0.0255906,0.103108,35.3683,35.3683,35,35.3683,35.3683,35,35.3564,35.3564,35,35.3683,35.3683,35,0.0758423,-0.0219691,0.357621,0.0622554,-0.0221329,0.355507,0.9604,0.9604,0.9604,0.9604
